EmployeeNumber,Age,Education,EducationField,Gender,JobRole,NumCompaniesWorked,Over18,TotalWorkingYears,uuid,EmployeeNumber_HASH
57,30,2,Medical,Female,Technician,1,Y,12,b521f417-7561-4f1c-b5fc-0250d48b4b8a,a7e70e5549f0effd54f40e2cf3faf37e4fe9806f635a9f191c8a182b1a99e365fd81fb84b1aaf73b4b08a3dd75a4350320646102544c6a577adcc4493fadc318
58,41,3,Technical Degree,Female,Research Director,1,Y,23,6dfab6ce-e0ed-4cfc-9df4-057573146bd5,9abea56b9850c3ee0ae20c078a586e928a1d27b2f5505667b1b205d7a042d52f10478d714fae0415eb998283913ee8b4f325c1e87f747880deeac7fc35d68dd2
60,34,4,Marketing,Male,Sales Executive,0,Y,10,a99dc558-e553-4356-ac80-cb7ec4e14781,747a666f8cd70954400f92ca91cbff4e4df5f94d401e246f9b21bf2fa906dd154a8556582a81a1dfcea72469cde37037b76dc0442ba3dc16efa5770e5787152b
61,37,2,Life Sciences,Male,Research Scientist,4,Y,8,f814eb88-9a51-45f3-9486-207e7e93ef4c,da9181b5797cbbc5e2e640bd84a0792beb635bd09ad9d1f3678c09b94aaaee66b8399e19e6bb271f9ac33643d3e807e78f8241b7e8a657b60dec9bfbc53afd28
62,46,4,Marketing,Male,Sales Executive,4,Y,14,ebb5e40d-87bd-47f3-8034-c1677c4539d5,3b1a2d70ec582785689e67400877559d84eb1eb6b1915c2a36911c5733487ec16c964a0ff9dff819671c7a133bb3e59c66a85380ea2221ef9519665b6144d7c9
63,35,1,Life Sciences,Male,Technician,1,Y,1,9b58020c-ddbf-4533-8f79-55b9cd4bc8ad,6a84d0ad91aac492724d289316003384784f8f4f5201bb9be79d3c3d1684182de8896b5309243032a160a4af6bb4fea5bd4975ec52f866f15a1728a600ceb31b
64,48,2,Life Sciences,Male,Technician,9,Y,23,759aca22-8860-4281-bef0-ab4ba27907ff,3dc861e174139d5af2a971df8ed696afc993de134afe48291bd16e6f55835a43c1debfe251bf01eccd07c56da3ebadc1f962bf114830f8ee7d21349e42f37808
65,28,4,Technical Degree,Male,Technician,1,Y,2,330004fb-f142-43f7-974a-51626b8908e9,aced33a5079abb2b11e6a299576b774c79c2619bd1f9eb8e5fc9f9a7681c25269d8bde6074c12ccdab277e6ca37cf66b1fad9257b3044f7f8941db014f6186bd
68,44,5,Marketing,Female,Sales Executive,5,Y,9,b74cff87-c4c4-4a5c-b00c-01d3c2115dfa,73614dc063ecb2f68a70f3d59d85cd9ba8927289322a66b61e2d68df6c20054b9b98ae15dd875f10e0ac8ae270df234427c3ce4e364de7c6fe0a23a3934987e7
70,35,2,Medical,Male,Brand Representative,2,Y,10,95ca961b-861f-42a0-aa22-803d813224a8,e400a51abf69ddb23c948cdb9037f58ae25b6aad9c4296326a9e32bc2e593c391051dbac3adf0a47c5b3a22e31d1b3831ef394ee61f24aad62a38acd020296aa
72,26,3,Marketing,Female,Sales Executive,7,Y,5,066d9be2-a391-430a-b93b-ccf6180d38c4,157d760d9f2785c5c75bdfd6d0b8d61f386d0279138af0e5ce1697a5effc35a61258e2a4508393294b3d922a026df68b4bfe2ee743e2261d0a0cd23075f27e18
73,33,2,Life Sciences,Female,Research Director,1,Y,15,2816dbfd-0d80-4070-99bb-96cb6092e1f6,d9b4caee31b30b2a10d55cd9c989d0e5401d03ca91ec280b39e368238c1e663eefe7d95c8a3e18ac1f2d8bb149dd1c774dbe048d04674786df88529b2c059ffb
74,35,5,Life Sciences,Male,Sales Executive,1,Y,9,c7acb636-2e0a-4cd9-b7ad-b4152441115d,1b882d8ca4687cebd938ce7472524c14715e2819d3b06212eee447d596e427037428d62c81ef0e07a634011e3e90d25c40a04b75a1a9c5cb869737cb4daab93c
75,35,4,Medical,Female,Technician,3,Y,4,c0b1b64a-1d99-4978-b2a7-5c5fbda55e49,60cd140d92a3983e4e50594ea1d74634e7c9c18cc8e99b6ff1cefea127203446f7d387364814049945ee6945e3120a269174eb54d9c0a5a3712328f614be1f2e
76,31,4,Life Sciences,Male,Technician,3,Y,10,a6a12b4e-04f3-4bbf-bbab-ba4297b321ee,4aebd22f213ffd214aa47936b1e8047cf5eae0a9b0e06175df0d2e5c9a462bd0746fde9d551d8bf112232fa678ffe1086dbf467567485a151e5b3c36d7c110bb
77,37,4,Life Sciences,Male,Marketing Director,1,Y,7,c4958257-5127-4bed-bed3-3b902505b49e,7a95c4cb08836119ea4d77473f3b54a9ab1d5796c973b11da05084bfc41982bd8056e863bdd1e9b6924669f669bdb1ecdd229b0f8ebee469c107d23ff2e3d970
78,32,3,Medical,Male,Marketing Director,1,Y,9,eb487d8b-2563-41cb-b1d0-7f37acf49227,9c4922a30df065c420cbeafcb33783cdb813080225743be19a21310ab69d40e6300ae56624cb2f67411b1b719a287f9b8b5570290d5e2f19a4a7bcce021aad6f
79,38,5,Life Sciences,Female,Technician,1,Y,10,a983eb1a-a11a-47ee-8c68-f65784fb8376,9334f62968b4e11a3312d4f364bef9c196040dd9de67549b6a8f3c9afcc2063e6b3d5d17f774ea8bb43ec25aa68085f13721e62b09bd56d65b80a179dbb48303
80,50,2,Medical,Female,Research Director,5,Y,29,39ac47c8-e564-4cae-b81d-e0650edb889b,42039923d3b33a439b75fe239d3c039be6862a9f031f8a13a7f51622061fb1547d86efdbb0949c748740963cf3d77d3518cb108706a5c8136bea5742e131c27d
81,59,3,Life Sciences,Female,Sales Executive,7,Y,28,a1a8e912-2e26-4b98-86cc-1d7f470a9e7e,1b0dc07466dc97e48480d6bc10a9dbad0a5825a17c67c8178ea56561731799a643856acce24fc5d3e863775ccbd030110880dd339c1073c7fabba2bda2216d73
83,36,3,Technical Degree,Female,Brand Representative,1,Y,17,84a80772-6f68-4001-944a-cc1265b8eb9a,5e7e7f62351b84046b112c4283eedda721aa44712bba427d92ecd3039ca584dafe4d1ef184c07389f0caf547976de6d065b1144524b30acf2e62496cccddd44b
84,55,3,Medical,Female,Manager,2,Y,21,ff58f320-f887-488f-9618-fd0f87712ae1,77e911f0787b12bff79273b0e31dec1d787dfbd385e8bae8eff47e12db86dd44086dce19286313cd5bc79046c41192b5463ab6e3b76b7e4483c422155cfa0f54
85,36,3,Life Sciences,Male,Marketing Director,1,Y,6,a80cb51b-24c6-459c-b205-677a51f9c02e,d64dea558c62f928dc3c51a68dff213dc6a716ab8f977ab24da65b7d00c155e3c5135f524cf1adc567977035ebccbdf5dd47c92f6d1faef2c932719c47716d64
86,45,3,Life Sciences,Male,Research Scientist,2,Y,25,06dc4dd3-9c1f-4898-890a-803d52c06bfb,03bca8bbfb5787470a42352badd2b33cc9fa53c07f3ecbd87df9c744df128858fa99a14f2726642a83aa897bfe925bf6953b5b8712e3fdb2c39df7ad38a05803
88,35,3,Medical,Male,Research Scientist,4,Y,5,01b41d2f-8fe6-43c7-bc70-83086e49d997,d56eda34d634e03595ec69e9dc14a7fc68f805940193b8fed44fc4ccbcbafd43e3e53c53368b39828dc9a1ab1cad4f316e18a5eeff350a7857191694c96088cc
90,36,3,Medical,Male,Research Scientist,0,Y,2,51fe5a7c-06af-4bf4-b8d1-d91b68739ebe,17c535f359fc616c634bc4655c2554486f5679d5f2580a4568a8f5594953bb9dfe1d31df96882c0fe58309340b7b46e7692a4bd6996eac86766418ff92f83206
91,59,1,Life Sciences,Female,Sales Executive,7,Y,20,9efd9f84-c5dd-40ea-8c96-5a2822086aca,98cdd28e07bfaa567ed8ee644061369c1c382e531990d01e8fe6dc9ac127b21217f7ea333c2f80f88bf144262b310d90060f1c7dc6d5badeaedb7cf089745b49
94,29,3,Life Sciences,Male,Research Scientist,0,Y,6,dd7e201c-30d0-4fe6-9f84-f9cab9c96cd4,d67beeb03bd351938e425c913b81e7df4ca9657d324bd74ae5827dd4b2b52108941eb9d21e1a96b044af99abfaf767af64703686dbf592b5f01622a72ea40e3b
95,31,4,Medical,Male,Research Scientist,1,Y,1,e4dca743-30bb-4ec9-b95c-fa2c7f96d50a,df230bc954b6278426aa435d279d18b2788ba88108e1d55f2ba05cc8a82252ee8fac8fcc6d62257d0b58941d139f5cb8b2db8a1c7b777bc0129d3187d9a8e83f
96,32,3,Life Sciences,Male,Research Scientist,1,Y,10,b0916649-9655-4cf1-9888-83e58103a619,59fc46af1b03ecafb443d332334bc8521ccb23e065b83983801e4d3a386907ea90b06d6f7c1724c09e5867468de36476ccd504da4fea4a874417773ad756bddc
97,36,3,Life Sciences,Female,Technician,3,Y,5,f906536c-b345-4842-b9f6-10f32a301791,6fb020bf3a542cfed7e39ef39b1c8a9412d6172bd9e9669f86f80798fe32e24323926f632b130428d463afce9609e16e28b1a95d25cc8ce82b419830eb20dc09
98,31,4,Life Sciences,Female,Marketing Director,1,Y,11,0ea9e387-3efa-4848-b337-4219e9682496,e9410ee944437f632dc8302fb9bc7c80a9ca812c2d856f1efecdd3cd4732ecf054becc0588b7922d4486a9c2b7126e27f93f880f79770125556c8fce601410ec
100,35,4,Marketing,Male,Sales Executive,0,Y,16,e88852c8-e3fd-4f60-bf8e-ed32fe738598,74a452c362314fa8c58d8f9688100e0851cb06f270e2099808b2f5ea9d418c8eeecde14333201297437dcd05febb9a4e72e352178bf3e4453ca702856a5d6173
101,45,4,Other,Male,Research Director,4,Y,17,089daba3-5dd3-4def-920c-9c71945a692e,40388e8f4a332ac074dcd5cd9e8239e395f76ce48b7e2dbc3bdb537dddfc2efb39b047b807c0102cb1d3f80c74ff1d193beab183df8160788dfee8a714111c54
102,37,4,Medical,Male,Research Director,4,Y,16,100d1545-1af8-4143-9539-a27613c0b4fa,6ad574301900d684c278b6c6c09261ca84e49842a8ef807b2dd6cd6941dbd8edd09df426062f962e316655ee0f6fb48eded378251d0e7e8a4d31a97711836f9b
103,46,2,Medical,Male,Human Resources,8,Y,16,3da9e0b6-3f41-41b8-b6a1-cea0a8b74ce9,13a2dd2b868e9b5ff5b793bb35f40c63a8775538ac21eafcee437cdd64e6ce28f48925dd2c0ce2c5a6c2950574ccfe1b8efdd0cbf4ecdfcd6563a83119d89a0c
104,30,1,Life Sciences,Male,Technician,1,Y,10,3d6c66de-a37d-47cd-be98-dee7a9afd581,02cfb0882aed9201fca41399f91087fed74576a6eb7d369df789e2f0e9ab2d63dffe769fb308cd0ea10ff153889aba146740008a77a5fbdd32a7456df9c7f59d
105,35,3,Medical,Male,Research Scientist,1,Y,6,95736b62-b469-4a4b-abd6-8b4cc5a00242,4e4f2daae307c6df6ef583f4c933977d5328ce44c64280ded94756fc054850c9cd9750483e73c1a5953ffb4695ea5a5b81cd315df6f5b7c88f035617c91639a3
106,55,2,Life Sciences,Male,Sales Executive,3,Y,24,39bd5b93-b389-4f56-9321-eaae36e7c0b1,fc984b94d607fd4f62753c699a4b921af122ea96325d149e9d6bc2a7203d003df5331d70509d9c2121a7fb74e0a85fb1d5b715c20241ba51908779f4833ee67c
107,38,3,Medical,Female,Research Scientist,7,Y,17,46d3dc62-2bdc-4852-96ec-db66e296bb10,745d51fad9456a57dea6c355741d3f3c2db2d2846dc2f40fe6ed8e9fbe84acc6ef55fec9fb44a047404ebf044ab9c19cfccb19880392042892a12806e919f4a4
110,34,2,Medical,Male,Marketing Director,1,Y,5,36234eff-3a33-4a8c-a851-410034863cc3,15cae15da2ee7918a0764efb6629ae066b0097615596e7d2f4f6156622f7bd25f2c489d783a87e490c3fcdb9f4eb7e534d35c62a9b9aa793ef02547be54e05ca
112,56,3,Life Sciences,Male,Marketing Director,4,Y,37,41ee24d8-090e-41ba-a96c-cf92bef244b1,006071276955103b3e28a9411c68b938843cfd2a31cb4a1f12c724689feba3205c03ebf87a1f929dbe8c060f5cc4ccc70b6ceba12aac3494d09553b05c908c8e
113,23,1,Technical Degree,Male,Sales Representative,3,Y,3,c1df672e-3ebb-46f6-b39f-522d5dd5e852,82b3ff1bae53cc7d384ffddde0471027b1e75ef79ec5ca218a8bd5683f164b7b29ce77bdf83fdd147ea5dd97a1d35ef4327a0bc6d6cb35862ebf1edd4f500d83
116,51,4,Life Sciences,Male,Technician,3,Y,10,0d93dd05-9679-4983-9e60-64fff199cd40,f21b6d69ae770c9f015bec0c077f15e774f21146dfcd08704f546fd6a469ef8afd4284afc344af93ab4f81478b60eb5b30d014fa735462486dee49d05d56a520
117,30,3,Life Sciences,Male,Brand Representative,1,Y,11,13c8ac7c-8a33-44c5-aff2-65f29eb8b739,2814e9ff0db1502e78cddb75d7d54a32a93fa7d9209ce8dea9c4eaa775ef0e5f2b5499418777d39e60182ecfb95b951931fd84a9303f19ebc2f574ab4df8eb26
118,46,2,Medical,Male,Sales Executive,1,Y,9,e63b4c13-11e9-42f8-b5a8-368e6f6660a3,8b7ce2cdd35fad8846c2572468f6356ca8fa65e41404f06227d0ee7445a8e148605f7fe2e40f4fc0a0770ecc5eab1c910de96bb9705b8e5b372979f5fbb2fff2
119,40,4,Life Sciences,Male,Brand Representative,1,Y,22,178479b5-d6b4-44fa-b355-3e2ae6b159ed,08034a060e4552ae3fb30dc055d8b97d3cf6b655363457c6f17d7f27f60622a2a7a6caebf01ac09cf5aeb95b9583a08565779776db7ee37915993a31ae551328
120,51,4,Marketing,Male,Sales Executive,0,Y,11,fcff3f18-fc1f-4ab9-bd97-b007cf65a957,21ce8007a85333685d753c4030db1cb66e7b0146328c21ac850d01a782a3cb2df607670eba95f8ac2d437f667452d09d5c2f17045ee86e856f128b07eb167582
121,30,2,Medical,Female,Sales Executive,1,Y,11,5a4fe19f-462d-4eb7-8a5d-121632b947f8,618a8a3c269350978562f4328b5f5168efaea1d3cda0fbfa97193b52a5ff7c80acdbf3b5f6d1ee5ec81a035f93be8f46be9fe52682c83907d4dddc65e52cfd72
124,46,3,Medical,Male,Brand Representative,2,Y,21,5f9b6caa-d422-4bf5-b7e1-cb9cbd329acb,49c6929f6fdc4c7fd123416ab54ad8e36f0d34092033d5e08376f79b3a96564a03bc857c4e38d84b0b6e7cc94ef7e36c46675500929dd1fa2d0247f7170f72a1
125,32,4,Medical,Male,Sales Executive,1,Y,12,b3377b35-b3a4-4985-8711-7c8cb85227d0,71b135f4878011ac6dc84d9bfe0b79ac7f9accb8edc32be563fa492b84bb661fa3cfd77777ef4cc1a140e8e797bdf4fa0fddc07e88f462c3b08aed052ac947de
126,54,4,Technical Degree,Female,Research Director,9,Y,16,bb7653c8-9fc8-49bf-8350-b2fd840e7e8c,4eab6e4ae673a5c1a42c35061cc208a1a588dd5928216d8209334eeb446ec7e7a558147a78a12321ac72f4924400cf1c12d68ca9fba232b129edfc979dd721d7
128,24,2,Other,Female,Sales Executive,0,Y,4,8d71000e-5420-4892-bc43-a1b88ae7259e,c253019b0cbba3422e32f8dc0f0dbbc866f55ee91a600f41712cd235192bede06f643b23c69ef7250b9dc511582fce452a4b33550d46f030eb99f053eb05399e
129,28,3,Medical,Male,Sales Executive,1,Y,5,393f6e38-a338-403b-90f0-0cd00e123f0d,af2caec496f87c473380b2e975c53f97beb89a186a18f1b005f5d1af3c24d989db12d17c988c18572c1f3dcb7b8f73cb0d00c965ced02186816f580e3c11c881
131,58,4,Medical,Male,Sales Executive,0,Y,38,83af5210-e501-4d0e-8f70-84d2d299d150,25892bc046ae6f57d7ddfea2cfe66bcee80ee71573e3eb36a3fcf75038a099d662173c1dcc2c9917b1a103ae4b41abad27d2de58bc68755d1f5e0539d7dfa7d8
